origen,lon_origen,lat_origen,destino,lon_destino,lat_destino,year,num_migrantes,genero
Northern Africa,18.0,28.0,Eastern Europe,30.0,50.0,1990,6976,male
Southern Africa,24.0,-29.0,Eastern Europe,30.0,50.0,1990,526,male
Western Africa,-2.0,16.0,Eastern Europe,30.0,50.0,1990,2468,male
Central Asia,63.0,48.0,Eastern Europe,30.0,50.0,1990,2406003,male
Eastern Asia,116.0,39.0,Eastern Europe,30.0,50.0,1990,57631,male
South-Eastern Asia,108.0,4.0,Eastern Europe,30.0,50.0,1990,30122,male
Southern Asia,78.0,23.0,Eastern Europe,30.0,50.0,1990,30070,male
Western Asia,40.0,33.0,Eastern Europe,30.0,50.0,1990,1194616,male
Eastern Europe,30.0,50.0,Eastern Europe,30.0,50.0,1990,5793768,male
Northern Europe,15.0,60.0,Eastern Europe,30.0,50.0,1990,215124,male
Southern Europe,15.0,41.0,Eastern Europe,30.0,50.0,1990,46913,male
Western Europe,2.0,48.0,Eastern Europe,30.0,50.0,1990,186553,male
Caribbean,-75.0,18.0,Eastern Europe,30.0,50.0,1990,1949,male
Central America,-86.0,15.0,Eastern Europe,30.0,50.0,1990,388,male
South America,-60.0,-10.0,Eastern Europe,30.0,50.0,1990,3382,male
NORTHERN AMERICA,-100.0,45.0,Eastern Europe,30.0,50.0,1990,12446,male
OCEANIA,140.0,-25.0,Eastern Europe,30.0,50.0,1990,2090,male
Eastern Africa,39.0,-6.5,Northern Europe,15.0,60.0,1990,159394,male
Middle Africa,17.0,1.0,Northern Europe,15.0,60.0,1990,3106,male
Northern Africa,18.0,28.0,Northern Europe,15.0,60.0,1990,38791,male
Southern Africa,24.0,-29.0,Northern Europe,15.0,60.0,1990,34023,male
Western Africa,-2.0,16.0,Northern Europe,15.0,60.0,1990,49310,male
Central Asia,63.0,48.0,Northern Europe,15.0,60.0,1990,19398,male
Eastern Asia,116.0,39.0,Northern Europe,15.0,60.0,1990,76624,male
South-Eastern Asia,108.0,4.0,Northern Europe,15.0,60.0,1990,79935,male
Southern Asia,78.0,23.0,Northern Europe,15.0,60.0,1990,472463,male
Western Asia,40.0,33.0,Northern Europe,15.0,60.0,1990,169627,male
Eastern Europe,30.0,50.0,Northern Europe,15.0,60.0,1990,665913,male
Northern Europe,15.0,60.0,Northern Europe,15.0,60.0,1990,645174,male
Southern Europe,15.0,41.0,Northern Europe,15.0,60.0,1990,160832,male
Western Europe,2.0,48.0,Northern Europe,15.0,60.0,1990,187820,male
Caribbean,-75.0,18.0,Northern Europe,15.0,60.0,1990,91134,male
Central America,-86.0,15.0,Northern Europe,15.0,60.0,1990,3710,male
South America,-60.0,-10.0,Northern Europe,15.0,60.0,1990,45075,male
NORTHERN AMERICA,-100.0,45.0,Northern Europe,15.0,60.0,1990,163748,male
OCEANIA,140.0,-25.0,Northern Europe,15.0,60.0,1990,55318,male
Eastern Africa,39.0,-6.5,Southern Europe,15.0,41.0,1990,51168,male
Middle Africa,17.0,1.0,Southern Europe,15.0,41.0,1990,74439,male
Northern Africa,18.0,28.0,Southern Europe,15.0,41.0,1990,311001,male
Southern Africa,24.0,-29.0,Southern Europe,15.0,41.0,1990,4594,male
Western Africa,-2.0,16.0,Southern Europe,15.0,41.0,1990,96219,male
Central Asia,63.0,48.0,Southern Europe,15.0,41.0,1990,25120,male
Eastern Asia,116.0,39.0,Southern Europe,15.0,41.0,1990,28000,male
South-Eastern Asia,108.0,4.0,Southern Europe,15.0,41.0,1990,19546,male
Southern Asia,78.0,23.0,Southern Europe,15.0,41.0,1990,57416,male
Western Asia,40.0,33.0,Southern Europe,15.0,41.0,1990,115098,male
Eastern Europe,30.0,50.0,Southern Europe,15.0,41.0,1990,78328,male
Northern Europe,15.0,60.0,Southern Europe,15.0,41.0,1990,83851,male
Southern Europe,15.0,41.0,Southern Europe,15.0,41.0,1990,566734,male
Western Europe,2.0,48.0,Southern Europe,15.0,41.0,1990,262793,male
Caribbean,-75.0,18.0,Southern Europe,15.0,41.0,1990,17500,male
Central America,-86.0,15.0,Southern Europe,15.0,41.0,1990,7734,male
South America,-60.0,-10.0,Southern Europe,15.0,41.0,1990,111640,male
NORTHERN AMERICA,-100.0,45.0,Southern Europe,15.0,41.0,1990,72344,male
OCEANIA,140.0,-25.0,Southern Europe,15.0,41.0,1990,17617,male
Eastern Africa,39.0,-6.5,Western Europe,2.0,48.0,1990,91213,male
Middle Africa,17.0,1.0,Western Europe,2.0,48.0,1990,121781,male
Northern Africa,18.0,28.0,Western Europe,2.0,48.0,1990,1371705,male
Southern Africa,24.0,-29.0,Western Europe,2.0,48.0,1990,10190,male
Western Africa,-2.0,16.0,Western Europe,2.0,48.0,1990,209594,male
Central Asia,63.0,48.0,Western Europe,2.0,48.0,1990,10582,male
Eastern Asia,116.0,39.0,Western Europe,2.0,48.0,1990,104150,male
South-Eastern Asia,108.0,4.0,Western Europe,2.0,48.0,1990,293544,male
Southern Asia,78.0,23.0,Western Europe,2.0,48.0,1990,286266,male
Western Asia,40.0,33.0,Western Europe,2.0,48.0,1990,1310008,male
Eastern Europe,30.0,50.0,Western Europe,2.0,48.0,1990,737717,male
Northern Europe,15.0,60.0,Western Europe,2.0,48.0,1990,215234,male
Southern Europe,15.0,41.0,Western Europe,2.0,48.0,1990,2597955,male
Western Europe,2.0,48.0,Western Europe,2.0,48.0,1990,835654,male
Caribbean,-75.0,18.0,Western Europe,2.0,48.0,1990,23169,male
Central America,-86.0,15.0,Western Europe,2.0,48.0,1990,14394,male
South America,-60.0,-10.0,Western Europe,2.0,48.0,1990,159369,male
NORTHERN AMERICA,-100.0,45.0,Western Europe,2.0,48.0,1990,122108,male
OCEANIA,140.0,-25.0,Western Europe,2.0,48.0,1990,15136,male
Eastern Africa,39.0,-6.5,Caribbean,-75.0,18.0,1990,207,male
Middle Africa,17.0,1.0,Caribbean,-75.0,18.0,1990,138,male
Northern Africa,18.0,28.0,Caribbean,-75.0,18.0,1990,168,male
Southern Africa,24.0,-29.0,Caribbean,-75.0,18.0,1990,173,male
Western Africa,-2.0,16.0,Caribbean,-75.0,18.0,1990,327,male
Central Asia,63.0,48.0,Caribbean,-75.0,18.0,1990,3,male
Eastern Asia,116.0,39.0,Caribbean,-75.0,18.0,1990,4729,male
South-Eastern Asia,108.0,4.0,Caribbean,-75.0,18.0,1990,692,male
Southern Asia,78.0,23.0,Caribbean,-75.0,18.0,1990,1720,male
Western Asia,40.0,33.0,Caribbean,-75.0,18.0,1990,1432,male
Eastern Europe,30.0,50.0,Caribbean,-75.0,18.0,1990,3196,male
Northern Europe,15.0,60.0,Caribbean,-75.0,18.0,1990,9216,male
Southern Europe,15.0,41.0,Caribbean,-75.0,18.0,1990,20448,male
Western Europe,2.0,48.0,Caribbean,-75.0,18.0,1990,43397,male
Caribbean,-75.0,18.0,Caribbean,-75.0,18.0,1990,241569,male
Central America,-86.0,15.0,Caribbean,-75.0,18.0,1990,7773,male
South America,-60.0,-10.0,Caribbean,-75.0,18.0,1990,32731,male
NORTHERN AMERICA,-100.0,45.0,Caribbean,-75.0,18.0,1990,136772,male
OCEANIA,140.0,-25.0,Caribbean,-75.0,18.0,1990,125,male
Eastern Africa,39.0,-6.5,Central America,-86.0,15.0,1990,53,male
Middle Africa,17.0,1.0,Central America,-86.0,15.0,1990,64,male
Northern Africa,18.0,28.0,Central America,-86.0,15.0,1990,308,male
Southern Africa,24.0,-29.0,Central America,-86.0,15.0,1990,69,male
Western Africa,-2.0,16.0,Central America,-86.0,15.0,1990,232,male
Central Asia,63.0,48.0,Central America,-86.0,15.0,1990,0,male
Eastern Asia,116.0,39.0,Central America,-86.0,15.0,1990,11538,male
South-Eastern Asia,108.0,4.0,Central America,-86.0,15.0,1990,633,male
Southern Asia,78.0,23.0,Central America,-86.0,15.0,1990,1434,male
Western Asia,40.0,33.0,Central America,-86.0,15.0,1990,3285,male
Eastern Europe,30.0,50.0,Central America,-86.0,15.0,1990,2917,male
Northern Europe,15.0,60.0,Central America,-86.0,15.0,1990,2934,male
Southern Europe,15.0,41.0,Central America,-86.0,15.0,1990,22295,male
Western Europe,2.0,48.0,Central America,-86.0,15.0,1990,9939,male
Caribbean,-75.0,18.0,Central America,-86.0,15.0,1990,10142,male
Central America,-86.0,15.0,Central America,-86.0,15.0,1990,580584,male
South America,-60.0,-10.0,Central America,-86.0,15.0,1990,30816,male
NORTHERN AMERICA,-100.0,45.0,Central America,-86.0,15.0,1990,117354,male
OCEANIA,140.0,-25.0,Central America,-86.0,15.0,1990,181,male
Eastern Africa,39.0,-6.5,South America,-60.0,-10.0,1990,1042,male
Middle Africa,17.0,1.0,South America,-60.0,-10.0,1990,2615,male
Northern Africa,18.0,28.0,South America,-60.0,-10.0,1990,4365,male
Southern Africa,24.0,-29.0,South America,-60.0,-10.0,1990,244,male
Western Africa,-2.0,16.0,South America,-60.0,-10.0,1990,208,male
Central Asia,63.0,48.0,South America,-60.0,-10.0,1990,0,male
Eastern Asia,116.0,39.0,South America,-60.0,-10.0,1990,78416,male
South-Eastern Asia,108.0,4.0,South America,-60.0,-10.0,1990,1286,male
Southern Asia,78.0,23.0,South America,-60.0,-10.0,1990,1435,male
Western Asia,40.0,33.0,South America,-60.0,-10.0,1990,37744,male
Eastern Europe,30.0,50.0,South America,-60.0,-10.0,1990,47029,male
Northern Europe,15.0,60.0,South America,-60.0,-10.0,1990,10295,male
Southern Europe,15.0,41.0,South America,-60.0,-10.0,1990,686745,male
Western Europe,2.0,48.0,South America,-60.0,-10.0,1990,71661,male
Caribbean,-75.0,18.0,South America,-60.0,-10.0,1990,31609,male
Central America,-86.0,15.0,South America,-60.0,-10.0,1990,20276,male
South America,-60.0,-10.0,South America,-60.0,-10.0,1990,1020015,male
NORTHERN AMERICA,-100.0,45.0,South America,-60.0,-10.0,1990,42586,male
OCEANIA,140.0,-25.0,South America,-60.0,-10.0,1990,984,male
Eastern Africa,39.0,-6.5,NORTHERN AMERICA,-100.0,45.0,1990,98484,male
Middle Africa,17.0,1.0,NORTHERN AMERICA,-100.0,45.0,1990,5880,male
Northern Africa,18.0,28.0,NORTHERN AMERICA,-100.0,45.0,1990,79204,male
Southern Africa,24.0,-29.0,NORTHERN AMERICA,-100.0,45.0,1990,28434,male
Western Africa,-2.0,16.0,NORTHERN AMERICA,-100.0,45.0,1990,75452,male
Central Asia,63.0,48.0,NORTHERN AMERICA,-100.0,45.0,1990,14731,male
Eastern Asia,116.0,39.0,NORTHERN AMERICA,-100.0,45.0,1990,1091510,male
South-Eastern Asia,108.0,4.0,NORTHERN AMERICA,-100.0,45.0,1990,1014902,male
