origen,lon_origen,lat_origen,destino,lon_destino,lat_destino,year,num_migrantes
Eastern Africa,39.0,-6.5,Southern Asia,78.0,23.0,1990,13783
Middle Africa,17.0,1.0,Southern Asia,78.0,23.0,1990,0
Northern Africa,18.0,28.0,Southern Asia,78.0,23.0,1990,16
Southern Africa,24.0,-29.0,Southern Asia,78.0,23.0,1990,3
Western Africa,-2.0,16.0,Southern Asia,78.0,23.0,1990,1286
Central Asia,63.0,48.0,Southern Asia,78.0,23.0,1990,44209
Eastern Asia,116.0,39.0,Southern Asia,78.0,23.0,1990,191283
South-Eastern Asia,108.0,4.0,Southern Asia,78.0,23.0,1990,659702
Southern Asia,78.0,23.0,Southern Asia,78.0,23.0,1990,17802862
Western Asia,40.0,33.0,Southern Asia,78.0,23.0,1990,327595
Eastern Europe,30.0,50.0,Southern Asia,78.0,23.0,1990,3446
Northern Europe,15.0,60.0,Southern Asia,78.0,23.0,1990,18622
Southern Europe,15.0,41.0,Southern Asia,78.0,23.0,1990,774
Western Europe,2.0,48.0,Southern Asia,78.0,23.0,1990,12089
Caribbean,-75.0,18.0,Southern Asia,78.0,23.0,1990,0
Central America,-86.0,15.0,Southern Asia,78.0,23.0,1990,0
South America,-60.0,-10.0,Southern Asia,78.0,23.0,1990,552
NORTHERN AMERICA,-100.0,45.0,Southern Asia,78.0,23.0,1990,40818
OCEANIA,140.0,-25.0,Southern Asia,78.0,23.0,1990,5619
Eastern Africa,39.0,-6.5,Western Asia,40.0,33.0,1990,180824
Middle Africa,17.0,1.0,Western Asia,40.0,33.0,1990,12756
Northern Africa,18.0,28.0,Western Asia,40.0,33.0,1990,1538259
Southern Africa,24.0,-29.0,Western Asia,40.0,33.0,1990,9870
Western Africa,-2.0,16.0,Western Asia,40.0,33.0,1990,3610
Central Asia,63.0,48.0,Western Asia,40.0,33.0,1990,124218
Eastern Asia,116.0,39.0,Western Asia,40.0,33.0,1990,4129
South-Eastern Asia,108.0,4.0,Western Asia,40.0,33.0,1990,1341746
Southern Asia,78.0,23.0,Western Asia,40.0,33.0,1990,4537153
Western Asia,40.0,33.0,Western Asia,40.0,33.0,1990,4047886
Eastern Europe,30.0,50.0,Western Asia,40.0,33.0,1990,1497103
Northern Europe,15.0,60.0,Western Asia,40.0,33.0,1990,99047
Southern Europe,15.0,41.0,Western Asia,40.0,33.0,1990,172418
Western Europe,2.0,48.0,Western Asia,40.0,33.0,1990,295103
Caribbean,-75.0,18.0,Western Asia,40.0,33.0,1990,61
Central America,-86.0,15.0,Western Asia,40.0,33.0,1990,1501
South America,-60.0,-10.0,Western Asia,40.0,33.0,1990,41207
NORTHERN AMERICA,-100.0,45.0,Western Asia,40.0,33.0,1990,85329
OCEANIA,140.0,-25.0,Western Asia,40.0,33.0,1990,6063
Eastern Africa,39.0,-6.5,Eastern Europe,30.0,50.0,1990,3520
Middle Africa,17.0,1.0,Eastern Europe,30.0,50.0,1990,2367
Northern Africa,18.0,28.0,Eastern Europe,30.0,50.0,1990,11637
Southern Africa,24.0,-29.0,Eastern Europe,30.0,50.0,1990,1032
Western Africa,-2.0,16.0,Eastern Europe,30.0,50.0,1990,4419
Central Asia,63.0,48.0,Eastern Europe,30.0,50.0,1990,4979196
Eastern Asia,116.0,39.0,Eastern Europe,30.0,50.0,1990,115320
South-Eastern Asia,108.0,4.0,Eastern Europe,30.0,50.0,1990,57909
Southern Asia,78.0,23.0,Eastern Europe,30.0,50.0,1990,52692
Western Asia,40.0,33.0,Eastern Europe,30.0,50.0,1990,2431396
Eastern Europe,30.0,50.0,Eastern Europe,30.0,50.0,1990,12821259
Northern Europe,15.0,60.0,Eastern Europe,30.0,50.0,1990,464948
Southern Europe,15.0,41.0,Eastern Europe,30.0,50.0,1990,98312
Western Europe,2.0,48.0,Eastern Europe,30.0,50.0,1990,398873
Caribbean,-75.0,18.0,Eastern Europe,30.0,50.0,1990,3802
Central America,-86.0,15.0,Eastern Europe,30.0,50.0,1990,717
South America,-60.0,-10.0,Eastern Europe,30.0,50.0,1990,6610
NORTHERN AMERICA,-100.0,45.0,Eastern Europe,30.0,50.0,1990,26932
OCEANIA,140.0,-25.0,Eastern Europe,30.0,50.0,1990,4120
Eastern Africa,39.0,-6.5,Northern Europe,15.0,60.0,1990,307072
Middle Africa,17.0,1.0,Northern Europe,15.0,60.0,1990,5303
Northern Africa,18.0,28.0,Northern Europe,15.0,60.0,1990,64811
Southern Africa,24.0,-29.0,Northern Europe,15.0,60.0,1990,72713
Western Africa,-2.0,16.0,Northern Europe,15.0,60.0,1990,96658
Central Asia,63.0,48.0,Northern Europe,15.0,60.0,1990,38725
Eastern Asia,116.0,39.0,Northern Europe,15.0,60.0,1990,161776
South-Eastern Asia,108.0,4.0,Northern Europe,15.0,60.0,1990,188398
Southern Asia,78.0,23.0,Northern Europe,15.0,60.0,1990,917139
Western Asia,40.0,33.0,Northern Europe,15.0,60.0,1990,304432
Eastern Europe,30.0,50.0,Northern Europe,15.0,60.0,1990,1456135
Northern Europe,15.0,60.0,Northern Europe,15.0,60.0,1990,1397623
Southern Europe,15.0,41.0,Northern Europe,15.0,60.0,1990,319200
Western Europe,2.0,48.0,Northern Europe,15.0,60.0,1990,456425
Caribbean,-75.0,18.0,Northern Europe,15.0,60.0,1990,188868
Central America,-86.0,15.0,Northern Europe,15.0,60.0,1990,7648
South America,-60.0,-10.0,Northern Europe,15.0,60.0,1990,93960
NORTHERN AMERICA,-100.0,45.0,Northern Europe,15.0,60.0,1990,338437
OCEANIA,140.0,-25.0,Northern Europe,15.0,60.0,1990,119809
Eastern Africa,39.0,-6.5,Southern Europe,15.0,41.0,1990,120515
Middle Africa,17.0,1.0,Southern Europe,15.0,41.0,1990,158968
Northern Africa,18.0,28.0,Southern Europe,15.0,41.0,1990,460688
Southern Africa,24.0,-29.0,Southern Europe,15.0,41.0,1990,9511
Western Africa,-2.0,16.0,Southern Europe,15.0,41.0,1990,144966
Central Asia,63.0,48.0,Southern Europe,15.0,41.0,1990,45480
Eastern Asia,116.0,39.0,Southern Europe,15.0,41.0,1990,61551
South-Eastern Asia,108.0,4.0,Southern Europe,15.0,41.0,1990,90616
Southern Asia,78.0,23.0,Southern Europe,15.0,41.0,1990,89719
Western Asia,40.0,33.0,Southern Europe,15.0,41.0,1990,203615
Eastern Europe,30.0,50.0,Southern Europe,15.0,41.0,1990,191791
Northern Europe,15.0,60.0,Southern Europe,15.0,41.0,1990,216382
Southern Europe,15.0,41.0,Southern Europe,15.0,41.0,1990,1177322
Western Europe,2.0,48.0,Southern Europe,15.0,41.0,1990,672348
Caribbean,-75.0,18.0,Southern Europe,15.0,41.0,1990,49533
Central America,-86.0,15.0,Southern Europe,15.0,41.0,1990,22406
South America,-60.0,-10.0,Southern Europe,15.0,41.0,1990,293636
NORTHERN AMERICA,-100.0,45.0,Southern Europe,15.0,41.0,1990,165434
OCEANIA,140.0,-25.0,Southern Europe,15.0,41.0,1990,36833
Eastern Africa,39.0,-6.5,Western Europe,2.0,48.0,1990,187428
Middle Africa,17.0,1.0,Western Europe,2.0,48.0,1990,230776
Northern Africa,18.0,28.0,Western Europe,2.0,48.0,1990,2428771
Southern Africa,24.0,-29.0,Western Europe,2.0,48.0,1990,22398
Western Africa,-2.0,16.0,Western Europe,2.0,48.0,1990,349041
Central Asia,63.0,48.0,Western Europe,2.0,48.0,1990,21633
Eastern Asia,116.0,39.0,Western Europe,2.0,48.0,1990,214501
South-Eastern Asia,108.0,4.0,Western Europe,2.0,48.0,1990,639524
